"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2022",1086.344,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2022",1073.659,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2022",2237.911,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2022",1623.349,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2022",1476.925,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2022",4215.79,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2022",2067.396,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2022",3619.356,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2022",2314.936,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2022",2590.752,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2022",2657.032,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2022",1449.663,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_6","2022",1159.889,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2022",2489.456,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2022",1639.457,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_9","2022",1866.248,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_M","OCU_ISCO08_0","2022",4229.491,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2022",1299.269,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2022",4785.524,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2022",1732.801,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2022",1933.633,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2022",1730.263,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2022",749.241,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_6","2022",826.553,,,"T30:20","R1:3513"
"GHA","BB:16203","EAR_EMTA_SEX_OCU_NB","SEX_F","OCU_ISCO08_7","2022",848.37,,,"T30:20","R1:3513"
